text,label
"Presiden Joko Widodo meresmikan jalan tol Trans Jawa sepanjang 1.000 kilometer pada hari Senin.",0
"VIRAL!!! HEBOH! Pemerintah akan melarang semua orang keluar rumah mulai besok! SEGERA SHARE sebelum dihapus!!!",1
"Kementerian Kesehatan melaporkan tingkat vaksinasi COVID-19 telah mencapai 70 persen dari target populasi.",0
"BAHAYA! Vaksin COVID mengandung chip pelacak! Jangan divaksin! Sebarkan ke semua grup!",1
"Bank Indonesia mempertahankan suku bunga acuan di level 3.5 persen untuk menjaga stabilitas ekonomi.",0
"MENGEJUTKAN! Ditemukan obat COVID gratis di pasar! Ambil sebelum habis! Share segera!",1
"Menteri Pendidikan mengumumkan kurikulum baru akan diterapkan mulai tahun ajaran mendatang.",0
"WASPADA! Air minum kemasan mengandung racun! Cek sekarang juga!",1
"Pertumbuhan ekonomi Indonesia kuartal pertama tercatat 5.2 persen year-on-year menurut BPS.",0
"BERITA PENTING! Besok seluruh Indonesia akan blackout total! Siapkan lilin!",1
"DPR mengesahkan Undang-Undang tentang Perlindungan Data Pribadi setelah pembahasan panjang.",0
"VIRAL! Menteri kesehatan mengundurkan diri! Pemerintah bohong soal pandemi!",1
"Pemerintah mengalokasikan anggaran Rp 500 triliun untuk program bantuan sosial tahun ini.",0
"HEBOH! Ditemukan cara mudah kaya dalam semalam! Klik link ini!",1
"Tim sepak bola nasional Indonesia berhasil lolos ke putaran final Piala AFF 2023.",0
"AWAS! Makanan ini menyebabkan kanker! Jangan dimakan! Share!",1
"Badan Meteorologi melaporkan cuaca cerah di sebagian besar wilayah Indonesia hari ini.",0
"MENGEJUTKAN! Presiden akan mengundurkan diri besok! Negara akan kacau!",1
"Kurs rupiah ditutup menguat ke level Rp 14.500 per dolar AS di pasar spot.",0
"VIRAL BANGET! Semua HP akan disadap pemerintah! Matikan sekarang juga!",1
"Menteri Pertanian meluncurkan program swasembada pangan untuk meningkatkan produksi beras nasional.",0
"BERITA TERKINI! Bank akan tutup semua ATM mulai besok! Ambil uang sekarang!",1
"Komisi Pemberantasan Korupsi menangkap seorang pejabat tinggi terkait kasus suap proyek infrastruktur.",0
"BAHAYA! WhatsApp akan berbayar mulai besok! Share ke semua kontak!",1
"Bursa Efek Indonesia mencatat rekor transaksi harian tertinggi senilai Rp 15 triliun.",0
"HEBOH DI SOSMED! Artis terkenal tertangkap polisi karena narkoba!",1
"Pemerintah menaikkan harga BBM bersubsidi untuk menjaga kesinambungan subsidi energi.",0
"BREAKING NEWS! Indonesia akan perang dengan negara tetangga! Waspada!",1
"Universitas Indonesia masuk dalam 300 besar universitas terbaik dunia versi QS World Rankings.",0
"VIRAL! Ditemukan makhluk aneh di laut Indonesia! Lihat fotonya!",1
"Kementerian Perhubungan mengumumkan pembangunan MRT fase 2 akan dimulai tahun depan.",0
"AWAS! Semua bank akan bangkrut besok pagi! Ambil uang Anda sekarang!",1
"Mahkamah Konstitusi menolak gugatan hasil pemilihan umum karena tidak memenuhi syarat.",0
"VIRAL! Ditemukan cara hack WiFi tetangga dengan mudah! Download sekarang!",1
"BMKG memperingatkan potensi cuaca ekstrem di beberapa wilayah Indonesia minggu ini.",0
"BAHAYA! Minum air putih bisa menyebabkan kematian! Jangan minum!",1
"Menteri BUMN melaporkan kinerja BUMN meningkat dengan laba bersih naik 15 persen.",0
"HEBOH! Semua smartphone akan meledak besok! Matikan sekarang!",1
"Kementerian Kesehatan membuka layanan telemedicine gratis untuk masyarakat di daerah terpencil.",0
"MENGEJUTKAN! Alien ditemukan di Indonesia! Lihat videonya sebelum dihapus!",1
